Designator,Footprint,Quantity,Value,LCSC Part #
"AUTO1, BL1, INFO1, MINUSONE1, MINUSTEN1, MODE1, PLUSONE1, PLUSTEN1, STANDBY1",Push_SMD_6.2x6.2mm,9,SMD_6.2x6.2mm_h7.0mm,C455110
"C10, C11, C12, C13, C14, C15, C6, C7, C8, C9",805,10,0.1uF,C1711
C16,805,1,4.7uF,C98192
"C4, C5",1206,2,22uF,C12891
D2,D_SMA,1,ES2AA,C698723
"F1, F2, F3, F4, F5, F6",Harwin S1791-42R,6,~,C3308703
"J1, J10, J11, J12, J2, J3, J4, J5, J6, J7, J8, J9",1x01_P2.54mm,12,Conn_01x01,One ST70 connector
J13,1x02_P2.54mm,1,Conn_01x02,NOT INSTALLED
J14,1x03_P2.54mm_Locking,1,Conn_01x03,NOT INSTALLED
J15,XUNPU FPC-05F-40PH20,1,UEED035HV-RX40-L001B,C2856812
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",805,8,LED_0805,C25170729
"Q1, Q2",SOT-23,2,AO3400A,C347475
"R10, R11, R12, R3, R4, R5, R6, R7, R8, R9",805,10,10K,C2828782
"R13, R14, R15, R16, R17, R18, R19, R20",805,8,33R,C126353
"R21, R25",805,2,100R,C105577
"R22, R24",805,2,100K,C96346
R23,805,1,5.1R,C114539
U1,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1,C3013946
U3,DCMINI,1,DCMINI,Mini 360 dc/dc from aliexpress
,,1,External antenna ,C2838061
,,1,LCD screen,UEED035HV-RX40-L001B from shen zen viewe
