Designator,Mid X,Mid Y,Rotation,Layer
AUTO1,182.95,-139.9,0.0,top
BL1,169.15,-126.1,0.0,top
C10,218.7,-134.05,90.0,bottom
C11,208.05,-140.65,90.0,bottom
C12,184.35,-126.0,90.0,bottom
C13,208.2,-127.75,90.0,bottom
C14,170.75,-139.85,90.0,bottom
C15,170.9,-126.05,90.0,bottom
C16,194.35,-77.95,90.0,top
C4,176.5,-95.4,0.0,bottom
C5,176.55,-71.35,180.0,bottom
C6,222.49,-96.965,180.0,bottom
C7,228.55,-127.55,90.0,bottom
C8,228.65,-140.5,90.0,bottom
C9,184.9,-139.8,90.0,bottom
D2,165.05,-94.8,180.0,bottom
F1,214.6,-98.75,0.0,top
F2,190.2,-98.8,0.0,top
F3,166.15,-98.65,0.0,top
F4,214.6,-60.25,0.0,top
F5,166.3,-60.2,0.0,top
F6,190.25,-60.2,0.0,top
INFO1,216.75,-134.2,0.0,top
J1,183.75,-120.1029,0.0,top
J10,216.25,-117.4971,0.0,top
J11,216.25,-120.1029,0.0,top
J12,214.0,-118.8,0.0,top
J13,211.52,-72.6025,180.0,bottom
J14,221.03,-71.092,0.0,bottom
J15,199.5,-86.55,90.0,top
J2,183.75,-117.4971,0.0,top
J3,186.0,-116.2,0.0,top
J4,188.25,-117.4971,0.0,top
J5,188.25,-120.1029,0.0,top
J6,186.0,-118.8,0.0,top
J7,211.75,-120.1029,0.0,top
J8,211.75,-117.4971,0.0,top
J9,214.0,-116.2,0.0,top
LED1,169.1,-131.2,0.0,top
LED2,169.2,-144.5,0.0,top
LED3,183.0,-131.2,180.0,top
LED4,212.0,-127.7,0.0,top
LED5,183.1125,-144.5,0.0,top
LED6,221.1125,-140.7,180.0,top
LED7,221.45,-127.65,180.0,top
LED8,212.15,-140.75,0.0,top
MINUSONE1,206.75,-127.7,0.0,top
MINUSTEN1,206.75,-140.7,0.0,top
MODE1,182.95,-126.1,0.0,top
PLUSONE1,226.75,-127.7,0.0,top
PLUSTEN1,226.75,-140.7,0.0,top
Q1,205.7125,-134.65,180.0,top
Q2,205.6,-67.7125,90.0,top
R10,182.2,-126.0125,270.0,bottom
R11,206.1,-127.7625,270.0,bottom
R12,168.7,-139.95,270.0,bottom
R13,172.9875,-131.2,180.0,top
R14,173.0875,-144.5,180.0,top
R15,179.3,-131.2,0.0,top
R16,213.75,-124.7625,270.0,top
R17,187.0,-144.5,180.0,top
R18,218.0,-140.0,90.0,top
R19,218.55,-125.0,270.0,top
R20,215.25,-140.0,90.0,top
R21,201.6625,-132.15,180.0,top
R22,201.05,-135.25,270.0,top
R23,193.9375,-92.7,180.0,top
R24,208.25,-63.9,90.0,top
R25,206.45,-72.2375,270.0,top
R3,226.84,-90.915,90.0,bottom
R4,168.8,-126.1,270.0,bottom
R5,226.3,-127.55,270.0,bottom
R6,226.55,-140.6,270.0,bottom
R7,182.9,-139.7,270.0,bottom
R8,216.6,-134.1,270.0,bottom
R9,206.1,-140.7,270.0,bottom
STANDBY1,169.15,-139.9,0.0,top
U1,215.5,-85.315,90.0,bottom
U3,176.5,-83.55,90.0,bottom
